============================================================
CICERO PAIRS - WINDOW SIZE 4
============================================================

Pair                           | Count
('scio', 'venio')              |     8
('quam', 'scio')               |     8
('frater', 'non')              |     8
('enim', 'multus')             |     8
('habeo', 'iam')               |     8
('habeo', 'sic')               |     8
('ita', 'ne')                  |     8
('res', 'tum')                 |     8
('littera', 'video')           |     8
('publicus', 'scribo')         |     8
('gero', 'non')                |     8
('fio', 'senatus')             |     8
('multus', 'ne')               |     8
('liber', 'scribo')            |     8
('greek.expression', 'res')    |     8
('multus', 'quidem')           |     8
('non', 'quod')                |     8
('enim', 'loquor')             |     8
('greek.expression', 'tam')    |     8
('quidem', 'scio')             |     8
('facio', 'magis')             |     8
('quidem', 'video')            |     8
('roma', 'scribo')             |     8
('littera', 'superus')         |     8
('enim', 'epistula')           |     8
('dies', 'facio')              |     8
('iam', 'tamen')               |     8
('eo', 'venio')                |     8
('do', 'ut')                   |     8
('dico', 'quam')               |     8
('habeo', 'littera')           |     8
('ut', 'venio')                |     8
('eo', 'possum')               |     8
('littera', 'pompeius')        |     8
('littera', 'spes')            |     8
('lex', 'non')                 |     8
('causa', 'dico')              |     8
('bonus', 'ne')                |     8
('dico', 'ius')                |     8
('neque', 'publicus')          |     8
('senatus', 'video')           |     7
('intellego', 'video')         |     7
('consul', 'video')            |     7
('consul', 'habeo')            |     7
('ne', 'publicus')             |     7
('consilium', 'ne')            |     7
('res', 'rogo')                |     7
('iam', 'publicus')            |     7
('nunc', 'volo')               |     7
('fero', 'tamen')              |     7
('res', 'saepe')               |     7
('res', 'spero')               |     7
('possum', 'venio')            |     7
('modus', 'possum')            |     7
('possum', 'praesertim')       |     7
('non', 'ratio')               |     7
('littera', 'puer')            |     7
('dico', 'littera')            |     7
('exspecto', 'non')            |     7
('ago', 'magnus')              |     7
('domitius', 'lucius')         |     7
('causa', 'facio')             |     7
('accipio', 'volo')            |     7
('homo', 'quam')               |     7
('non', 'verum')               |     7
('totus', 'video')             |     7
('roma', 'ut')                 |     7
('roma', 'scio')               |     7
('curo', 'scribo')             |     7
('amo', 'curo')                |     7
('desum', 'ne')                |     7
('primum', 'venio')            |     7
('dolor', 'magnus')            |     7
('animus', 'iam')              |     7
('habeo', 'quam')              |     7
('intellego', 'scribo')        |     7
('autem', 'quam')              |     7
('certe', 'quam')              |     7
('greek.expression', 'senatus') |     7
('greek.expression', 'iam')    |     7
('dico', 'tamen')              |     7
('bonus', 'homo')              |     7
('facio', 'statuo')            |     7
('animus', 'bonus')            |     7
('consul', 'piso')             |     7
('nam', 'ut')                  |     7
('magnus', 'ne')               |     7
('credo', 'habeo')             |     7
('fio', 'res')                 |     7
('fio', 'tamen')               |     7
('do', 'scio')                 |     7
('magis', 'non')               |     7
('multus', 'volo')             |     7
('ne', 'provincia')            |     7
('non', 'sermo')               |     7
('facile', 'quam')             |     7
('habeo', 'iter')              |     7
('forensis', 'non')            |     7
('non', 'otium')               |     7
('consilium', 'scribo')        |     7
('nunc', 'scio')               |     7
('spero', 'video')             |     7
('pompeius', 'voluntas')       |     7
('amicus', 'dico')             |     7
('pompeius', 'publicus')       |     7
('scribo', 'senatus')          |     7
('do', 'reddo')                |     7
('littera', 'nunc')            |     7
('aio', 'ut')                  |     7
('magis', 'tempus')            |     7
('do', 'tempus')               |     7
('etiam', 'quidem')            |     7
('curo', 'greek.expression')   |     7
('quoque', 'video')            |     7
('iam', 'venio')               |     7
('modus', 'video')             |     7
('etiam', 'ut')                |     7
('bonus', 'multus')            |     7
('fero', 'quam')               |     7
('ita', 'video')               |     7
('dies', 'exspecto')           |     7
('ne', 'puto')                 |     7
('greek.expression', 'teneo')  |     7
('greek.expression', 'nunc')   |     7
('consilium', 'utor')          |     7
('caesar', 'pompeius')         |     7
('mens', 'venio')              |     7
('opus', 'ut')                 |     7
('magis', 'puto')              |     7
('greek.expression', 'tempus') |     7
('etiam', 'tum')               |     7
('cupio', 'video')             |     7
('habeo', 'ratio')             |     7
('locus', 'scribo')            |     7
('facio', 'statim')            |     7
('numquam', 'video')           |     7
('facio', 'proficiscor')       |     7
('magis', 'scribo')            |     7
('ago', 'enim')                |     7
('iam', 'puto')                |     7
('dies', 'enim')               |     7
('ago', 'habeo')               |     7
('epistula', 'greek.expression') |     7
('do', 'greek.expression')     |     7
('modo', 'res')                |     7
('animus', 'autem')            |     7
('gero', 'greek.expression')   |     7
('bonus', 'possum')            |     7
('etiam', 'nam')               |     7
('nam', 'quidem')              |     7
('habeo', 'nam')               |     7
('amo', 'quantum')             |     7
('facio', 'pompeius')          |     7
('capio', 'consilium')         |     7
('animus', 'possum')           |     7
('epirus', 'non')              |     7
('proficiscor', 'scribo')      |     7
('epirus', 'scribo')           |     7
('do', 'thessalonica')         |     7
('modo', 'puto')               |     7
('lex', 'ne')                  |     7
('ne', 'populus')              |     7
('ago', 'volo')                |     7
('autem', 'do')                |     7
('gratus', 'non')              |     7
('puto', 'tamen')              |     7
('greek.expression', 'sic')    |     7
('facio', 'gratus')            |     7
('ago', 'tempus')              |     7
('neque', 'res')               |     7
('domitius', 'littera')        |     7
('diu', 'iam')                 |     6
('habeo', 'senatus')           |     6
('consul', 'dico')             |     6
('consul', 'res')              |     6
('consul', 'publicus')         |     6
('iam', 'vero')                |     6
('habeo', 'publicus')          |     6
('nunc', 'publicus')           |     6
('ago', 'ne')                  |     6
('ago', 'sic')                 |     6
('ago', 'modus')               |     6
('cedo', 'res')                |     6
('animus', 'magnus')           |     6
('intellego', 'res')           |     6
('quam', 'valeo')              |     6
('valeo', 'video')             |     6
('dies', 'senatus')            |     6
('exspecto', 'ne')             |     6
('malus', 'res')               |     6
('invenio', 'possum')          |     6
('brevis', 'tempus')           |     6
('bellum', 'res')              |     6
('consul', 'possum')           |     6
('ago', 'ita')                 |     6
('certus', 'non')              |     6
('nunc', 'puto')               |     6
('enim', 'fio')                |     6
('ceterus', 'scribo')          |     6
('comitium', 'non')            |     6
('ago', 'coepi')               |     6
('facio', 'nunc')              |     6
('autem', 'puto')              |     6
('gratia', 'non')              |     6
('etiam', 'verum')             |     6
('etiam', 'spero')             |     6
('causa', 'puto')              |     6
('homo', 'summus')             |     6
('enim', 'roma')               |     6
('curo', 'diligenter')         |     6
('placeo', 'scribo')           |     6
('accuso', 'non')              |     6
('quintus', 'scribo')          |     6
('gratus', 'scribo')           |     6
('quoque', 'scribo')           |     6
('locus', 'res')               |     6
('non', 'quare')               |     6
('non', 're')                  |     6
('causa', 'volo')              |     6
('enim', 'numquam')            |     6
('littera', 'possum')          |     6
('audio', 'ne')                |     6
('consilium', 'do')            |     6
('duco', 'non')                |     6
('littera', 'scio')            |     6
('magis', 'multus')            |     6
('modo', 'possum')             |     6
('possum', 'tantus')           |     6
('forte', 'res')               |     6
('non', 'praetermitto')        |     6
('diligenter', 'quam')         |     6
('certus', 'quam')             |     6
('venio', 'volo')              |     6
('ample', 'non')               |     6
('scio', 'tum')                |     6
('locus', 'volo')              |     6
('sic', 'video')               |     6
('non', 'repr(eh)endo')        |     6
('greek.expression', 'rogo')   |     6
('greek.expression', 'respondeo') |     6
('auctoritas', 'senatus')      |     6
('res', 'umquam')              |     6
('facio', 'modo')              |     6
('non', 'solus')               |     6
('perspicio', 'possum')        |     6
