============================================================
CICERO ANALYSIS (Treebank Filtered)
Source: Perseus (phi0474) + PROIEL (Atticum, Officiis, etc.)
============================================================

Total Lemmas: 28377

TOP COLLOCATIONS (PAIRS) by PMI (Min count: 3)
------------------------------------------------------------
Collocation                    | PMI        | Count
('usque', 'eo')                |       4.03 |     3
('res', 'publicus')            |       4.03 |   130
('multum', 'amo')              |       4.02 |     3
('consilium', 'repr(eh)endo')  |       4.02 |     4
('sententia', 'rogo')          |       4.01 |     3
('rogo', 'sententia')          |       4.01 |     3
('auctoritas', 'gratia')       |       4.01 |     3
('gratia', 'refero')           |       4.01 |     3
('roma', 'maneo')              |       4.01 |     3
('dissimulo', 'enim')          |       4.00 |     3
('lucius', 'affero')           |       4.00 |     4
('senatus', 'decerno')         |       3.99 |     7
('modo', 'otium')              |       3.99 |     4
('ita', 'propono')             |       3.98 |     3
('mensis', 'exspecto')         |       3.97 |     3
('nego', 'inquam')             |       3.97 |     3
('postulo', 'alter')           |       3.97 |     3
('epistula', 'reddo')          |       3.96 |     6
('umquam', 'tam')              |       3.96 |     5
('asia', 'eo')                 |       3.95 |     3
('initium', 'iam')             |       3.94 |     3
('delecto', 'liber')           |       3.94 |     3
('do', 'octobris')             |       3.93 |     3
('diligenter', 'curo')         |       3.92 |     5
('aio', 'inquam')              |       3.92 |     3
('scribo', 'alias')            |       3.91 |     3
('roma', 'idus')               |       3.91 |     3
('greek.expression', 'pridie') |       3.91 |     4
('neque', 'lucius')            |       3.91 |     4
('locus', 'ubi')               |       3.91 |     5
('senatus', 'religio')         |       3.90 |     3
('quam', 'bellus')             |       3.89 |     3
('potius', 'quam')             |       3.89 |    18
('pridie', 'quam')             |       3.89 |     3
('summus', 'teneo')            |       3.89 |     3
('populus', 'plebs')           |       3.89 |     3
('ne', 'publice')              |       3.88 |     3
('thessalonica', 'accipio')    |       3.88 |     3
('tum', 'cum')                 |       3.88 |     6
('do', 'opera')                |       3.87 |    14
('tamen', 'consolor')          |       3.87 |     4
('praetermitto', 'tempus')     |       3.87 |     3
('nuntius', 'venio')           |       3.86 |     4
('possum', 'inviso')           |       3.85 |     3
('verum', 'tamen')             |       3.85 |    13
('amor', 'summus')             |       3.84 |     3
('consul', 'rogatio')          |       3.84 |     3
('quintilis', 'quidem')        |       3.83 |     3
('valde', 'probo')             |       3.83 |     4
('opinio', 'roma')             |       3.83 |     3
('iudex', 'inquam')            |       3.82 |     3
('inquam', 'iudex')            |       3.82 |     3
('alter', 'pars')              |       3.82 |     3
('primus', 'sermo')            |       3.82 |     3
('domitius', 'consul')         |       3.82 |     5
('cassius', 'littera')         |       3.81 |     4
('ceno', 'facio')              |       3.81 |     3
('utique', 'facio')            |       3.81 |     4
('ascribo', 'etiam')           |       3.80 |     3
('primum', 'deinde')           |       3.79 |     3
('multus', 'coram')            |       3.79 |     3
('iudex', 'summus')            |       3.79 |     3
('affero', 'facile')           |       3.79 |     3
('epirus', 'parum')            |       3.79 |     3
('consultum', 'consul')        |       3.79 |     6
('cincius', 'dico')            |       3.79 |     3
('bonus', 'vir')               |       3.79 |     6
('arcesso', 'enim')            |       3.78 |     3
('nolo', 'inquam')             |       3.78 |     3
('desino', 'tamen')            |       3.78 |     3
('rogatio', 'senatus')         |       3.77 |     4
('fero', 'consularis')         |       3.76 |     3
('sententia', 'primum')        |       3.75 |     3
('superus', 'dies')            |       3.75 |     4
('magnus', 'opus')             |       3.75 |    11
('annus', 'quidem')            |       3.74 |     4
('dionysius', 'quidem')        |       3.74 |     4
('urbs', 'relinquo')           |       3.74 |     3
('memmius', 'pompeius')        |       3.72 |     3
('totus', 'iter')              |       3.72 |     4
('animus', 'offendo')          |       3.71 |     3
('totus', 'perspicio')         |       3.71 |     3
('praeterea', 'bonus')         |       3.70 |     3
('confido', 'volo')            |       3.70 |     4
('familiaris', 'audio')        |       3.70 |     3
('amicus', 'vir')              |       3.69 |     3
('tempus', 'etenim')           |       3.69 |     3
('publicus', 'verso')          |       3.69 |     3
('defero', 'senatus')          |       3.68 |     4
('desidero', 'vero')           |       3.68 |     3
('plane', 'intellego')         |       3.68 |     3
('multo', 'magis')             |       3.68 |     5
('ecce', 'littera')            |       3.67 |     4
('obiurgo', 'ut')              |       3.66 |     3
('video', 'titus')             |       3.66 |     4
('intercedo', 'senatus')       |       3.66 |     3
('greek.expression', 'aedifico') |       3.65 |     4
('greek.expression', 'supersum') |       3.65 |     4
('alter', 'plane')             |       3.65 |     3
('mos', 'magnus')              |       3.65 |     3
('magnus', 'perturbo')         |       3.65 |     3
('laodicea', 'venio')          |       3.64 |     5
('caesar', 'domitius')         |       3.64 |     4
('tam', 'diu')                 |       3.64 |     4
('mitto', 'thessalonica')      |       3.64 |     3
('cura', 'animus')             |       3.63 |     3
('fio', 'consultum')           |       3.63 |     4
('prius', 'quam')              |       3.63 |     3
('valde', 'delecto')           |       3.63 |     3
('pompeius', 'crassus')        |       3.63 |     4
('deus', 'bonus')              |       3.62 |     3
('ne', 'comes')                |       3.62 |     3
('syngrapha', 'dico')          |       3.62 |     3
('lex', 'clodius')             |       3.61 |     4
('molestia', 'nam')            |       3.61 |     3
('consilium', 'utor')          |       3.60 |     6
('ita', 'instituo')            |       3.60 |     3
('dies', 'exeo')               |       3.60 |     3
('officium', 'dies')           |       3.60 |     3
('gratus', 'intellego')        |       3.60 |     3
('frater', 'miser')            |       3.60 |     4
('explico', 'possum')          |       3.59 |     5
('tabellarius', 'ago')         |       3.59 |     3
('ephesus', 'venio')           |       3.58 |     3
('spons', 'facio')             |       3.58 |     3
('homo', 'graecus')            |       3.57 |     3
