============================================================
CICERO: TOP PAIRS by FREQUENCY (Raw Count)
============================================================

Pair                           | Count
('facio', 'spes')              |    15
('autem', 'bonus')             |    15
('dico', 'lex')                |    15
('fio', 'tamen')               |    15
('epistula', 'nunc')           |    15
('ubi', 'video')               |    15
('ne', 'umquam')               |    15
('res', 'sermo')               |    15
('non', 'nosco')               |    15
('fero', 'ne')                 |    15
('fero', 'ut')                 |    15
('multus', 'scio')             |    15
('autem', 'publicus')          |    15
('quidem', 'scio')             |    15
('greek.expression', 'publicus') |    15
('res', 'tribunus')            |    15
('dico', 'tum')                |    15
('greek.expression', 'teneo')  |    15
('fio', 'scribo')              |    15
('magnus', 'volo')             |    15
('gero', 'res')                |    15
('neque', 'possum')            |    15
('greek.expression', 'semper') |    15
('greek.expression', 'plane')  |    15
('greek.expression', 'roma')   |    15
('etenim', 'greek.expression') |    15
('do', 'pompeius')             |    15
('magis', 'possum')            |    15
('accipio', 'enim')            |    15
('enim', 'magnus')             |    15
('igitur', 'non')              |    15
('caesar', 'quidem')           |    15
('cogito', 'greek.expression') |    15
('adhuc', 'non')               |    15
('littera', 'spes')            |    15
('locus', 'ne')                |    15
('decerno', 'senatus')         |    14
('senatus', 'venio')           |    14
('debeo', 'video')             |    14
('do', 'eo')                   |    14
('eo', 'quam')                 |    14
('bonus', 'habeo')             |    14
('nego', 'non')                |    14
('dico', 'multus')             |    14
('amicus', 'dico')             |    14
('dico', 'littera')            |    14
('non', 'peto')                |    14
('fio', 'video')               |    14
('caesar', 'video')            |    14
('iudicium', 'video')          |    14
('scribo', 'spero')            |    14
('absum', 'non')               |    14
('pompeius', 'venio')          |    14
('comitium', 'non')            |    14
('frater', 'res')              |    14
('ago', 'puto')                |    14
('autem', 'enim')              |    14
('amo', 'video')               |    14
('curo', 'video')              |    14
('curo', 'ut')                 |    14
('roma', 'ut')                 |    14
('curo', 'facio')              |    14
('quoque', 'scribo')           |    14
('quintus', 'ut')              |    14
('certus', 'littera')          |    14
('certus', 'habeo')            |    14
('epirus', 'littera')          |    14
('habeo', 'negotium')          |    14
('do', 'multus')               |    14
('gravis', 'non')              |    14
('non', 'perscribo')           |    14
('curo', 'volo')               |    14
('animus', 'iam')              |    14
('greek.expression', 'locus')  |    14
('ago', 'diligenter')          |    14
('certus', 'quam')             |    14
('proficiscor', 'quam')        |    14
('epistula', 'roma')           |    14
('causa', 'publicus')          |    14
('causa', 'greek.expression')  |    14
('autem', 'iam')               |    14
('bonus', 'homo')              |    14
('bonus', 'enim')              |    14
('non', 'postulo')             |    14
('non', 'sententia')           |    14
('greek.expression', 'laudo')  |    14
('bonus', 'do')                |    14
('facio', 'statuo')            |    14
('magnus', 'puto')             |    14
('cicero', 'greek.expression') |    14
('magis', 'scio')              |    14
('do', 'nunc')                 |    14
('littera', 'magis')           |    14
('non', 'quintus')             |    14
('possum', 'totus')            |    14
('puto', 'roma')               |    14
('dies', 'enim')               |    14
('magis', 'volo')              |    14
('tam', 'venio')               |    14
('amo', 'scio')                |    14
('frater', 'greek.expression') |    14
('audio', 'quam')              |    14
('greek.expression', 'pompeius') |    14
('enim', 'pompeius')           |    14
('magnus', 'pompeius')         |    14
