================================================================================
CICERO FULL CORPUS ANALYSIS (Stanza Lemmatization)
Source: Latin Library (Full Text)
Method: Stanza NLP (UD Model), Window Size: 5, Stopwords Removed
================================================================================

Total Files Processed: 138
Total Lemmas: 632835
Unique Pairs Found: 1542989

TOP COLLOCATIONS by PMI (Min count: {min_occurrence})
--------------------------------------------------------------------------------
Collocation                              | PMI        | Count
('archipiro', 'securus')                 |       9.50 |     6
('quotienscumque', 'totio')              |       9.50 |     6
('ambo', 'pansa')                        |       9.50 |     5
('cicerona', 'tertivs')                  |       9.49 |     9
('pullus', 'toga')                       |       9.47 |     6
('adpetitus', 'sino')                    |       9.46 |     5
('assumptio', 'indigeo')                 |       9.46 |    10
('coniecturalis', 'constitutio')         |       9.45 |    12
('caelium', 'curulus')                   |       9.44 |     7
('includo', 'intus')                     |       9.43 |     5
('ianuarius', 'kalio')                   |       9.41 |    47
('kanticus', 'sept')                     |       9.40 |     5
('fortuitus', 'praesensio')              |       9.40 |     7
('balbus', 'oppius')                     |       9.40 |    14
('fortix', 'virum')                      |       9.40 |    16
('agrus', 'campanus')                    |       9.39 |    14
('cicerona', 'primvs')                   |       9.39 |     7
('iniuro', 'iuro')                       |       9.38 |     7
('salo', 'valeo')                        |       9.38 |     5
('citer', 'gallia')                      |       9.37 |     9
('aurum', 'ebor')                        |       9.37 |     5
('hs', 'iccc')                           |       9.37 |     7
('obsio', 'prosum')                      |       9.36 |     6
('cicerona', 'tullum')                   |       9.36 |    11
('iaha', 'terentia')                     |       9.36 |     7
('tertivs', 'tvllum')                    |       9.34 |     7
('pulmo', 'spiritus')                    |       9.32 |     7
('ianus', 'medius')                      |       9.32 |     6
('argentum', 'signo')                    |       9.31 |     5
('corona', 'herba')                      |       9.30 |     5
('annonas', 'caritas')                   |       9.30 |    10
('cognitor', 'lis')                      |       9.30 |     5
('aegrotus', 'medicus')                  |       9.29 |     7
('modius', 'ternus')                     |       9.29 |     6
('antia', 'iunas')                       |       9.28 |     5
('tiron', 'tullius')                     |       9.28 |    10
('marcvs', 'quinio')                     |       9.28 |     5
('dis', 'penatus')                       |       9.28 |     6
('aedilis', 'curulus')                   |       9.27 |     5
('legio', 'tironus')                     |       9.27 |     6
('craeo', 'hodie')                       |       9.26 |     7
('pupillus', 'tutela')                   |       9.25 |     5
('luna', 'sidus')                        |       9.25 |     8
('secvndvs', 'tvllum')                   |       9.24 |     6
('gubernaculum', 'nav')                  |       9.24 |     5
('familia', 'servolus')                  |       9.24 |     5
('altitudo', 'mons')                     |       9.23 |     5
('calliphus', 'honestas')                |       9.23 |     5
('deprehendo', 'manifestus')             |       9.22 |    13
("'ergo", 'scipium')                     |       9.22 |     9
('approbatio', 'argumentatio')           |       9.22 |    16
('caelius', 'ciceronum')                 |       9.20 |    17
('canicula', 'mare')                     |       9.19 |     9
('aquilis', "m'")                        |       9.19 |     5
('vacuitas', 'valitudo')                 |       9.19 |     5
('castra', 'iconium')                    |       9.19 |     6
('c.us', 'pupas')                        |       9.18 |     8
('diuturnus', 'observatio')              |       9.17 |     9
('marcvs', 'uero')                       |       9.17 |     6
('medimnus', 'ternus')                   |       9.16 |     5
('divido', 'sphaera')                    |       9.15 |     5
('materia', 'tractatio')                 |       9.15 |     5
('frus', 'ubertas')                      |       9.15 |     5
('confirmatio', 'reprehensio')           |       9.14 |     8
('ideestio', 'pridus')                   |       9.14 |     7
('attice', 'atticus')                    |       9.14 |     6
('hora', 'nonus')                        |       9.12 |     7
('admisceo', 'calor')                    |       9.12 |     5
('declino', 'intervallus')               |       9.12 |     5
('primvs', 'tvllum')                     |       9.11 |     5
('indigeo', 'propositio')                |       9.11 |     9
('procella', 'tempestas')                |       9.11 |     6
('facetia', 'lepus')                     |       9.10 |     7
('campus', 'martio')                     |       9.10 |     8
('calor', 'frigus')                      |       9.09 |     6
('nonys', 'novanus')                     |       9.08 |     5
('academicus', 'peripateticus')          |       9.07 |    15
('mare', 'peloponnes')                   |       9.07 |     6
('aprus', 'astura')                      |       9.06 |    16
('argumentatio', 'assumptio')            |       9.05 |    11
('graece', 'latine')                     |       9.04 |    21
('fannis', 'roscius')                    |       9.04 |     7
('exta', 'hostia')                       |       9.04 |     5
('femina', 'mas')                        |       9.03 |     5
('***o', 'philus')                       |       9.03 |     7
('portentus', 'raro')                    |       9.03 |     5
('cerus', 'simulace')                    |       9.02 |     7
('beneficentia', 'liberalitas')          |       9.02 |     7
('africa', 'sardinia')                   |       9.02 |     5
('damen', 'impae')                       |       9.02 |    14
('argentum', 'caefero')                  |       9.01 |     5
('heraclio', 'syracusanus')              |       9.01 |     5
('incendium', 'restinguo')               |       9.01 |     7
('mensis', 'septembrum')                 |       9.00 |     6
('decembrum', 'mensis')                  |       9.00 |    15
('caesennia', 'fundus')                  |       9.00 |    12
('cantus', 'fidus')                      |       9.00 |     5
('aer', 'aether')                        |       8.99 |    10
('late', 'pateo')                        |       8.99 |    20
('aristoteles', 'xenocratus')            |       8.99 |     9
('decuma', 'medimnus')                   |       8.98 |    16
('aestimatio', 'denarius')               |       8.98 |     8
('frumentum', 'mancipes')                |       8.98 |     6
('mare', 'superum')                      |       8.98 |    12
('aprilus', 'astura')                    |       8.98 |     6
('ccciccx', 'mentior')                   |       8.98 |     5
('argumentatio', 'propositio')           |       8.98 |    12
('hs', 'medimnus')                       |       8.97 |    11
('biduus', 'triduus')                    |       8.97 |     7
('formianus', 'martus')                  |       8.97 |    19
('leontinus', 'medimnus')                |       8.97 |     5
('argumentatio', 'triperto')             |       8.97 |     5
('deico', 'possideo')                    |       8.96 |     7
('divisio', 'partitio')                  |       8.96 |     7
('ameria', 'roscus')                     |       8.96 |     6
('aprilus', 'mensis')                    |       8.94 |    22
('appes', 'claudium')                    |       8.93 |     6
('modia', 'singulus')                    |       8.93 |     6
('lucrum', 'triticum')                   |       8.92 |    10
('aristoteles', 'polemon')               |       8.92 |     6
('inauro', 'statua')                     |       8.91 |    10
('conlatio', 'similitudo')               |       8.91 |     7
('circumvo', 'innocens')                 |       8.91 |     6
('cella', 'gratis')                      |       8.91 |     5
('laterensis', 'plancium')               |       8.90 |     7
('aurum', 'gemma')                       |       8.90 |     6
('cohor', 'praetoria')                   |       8.89 |     5
('foeder', 'mamertio')                   |       8.89 |     6
('collexa', 'servilium')                 |       8.88 |     5
('obtestorquo', 'oro')                   |       8.88 |     5
('decuma', 'vendido')                    |       8.87 |    11
('legium', 'quartus')                    |       8.87 |    11
('ser', 'sulpicus')                      |       8.87 |     7
('terentia', 'tullia')                   |       8.87 |    14
